simulation_number,round_probability,payout_multiplier
1189,0.0002,1.0
1190,0.0002,0.25
1191,0.0002,0.5
1192,0.0002,0.25
1193,0.0002,0.625
1194,0.0002,1.0
1195,0.0002,0.0
1196,0.0002,0.0
1197,0.0002,0.0
1198,0.0002,1.3
1199,0.0002,0.0
1200,0.0002,1.2
1201,0.0002,1.25
1202,0.0002,0.0
1203,0.0002,0.5
1204,0.0002,3.2
1205,0.0002,0.25
1206,0.0002,1.0
1207,0.0002,0.75
1208,0.0002,0.0
1209,0.0002,0.4
1210,0.0002,0.625
1211,0.0002,1.0
1212,0.0002,0.0
1213,0.0002,1.875
1214,0.0002,1.25
1215,0.0002,1.0
1216,0.0002,1.0
1217,0.0002,0.5
1218,0.0002,2.125
1219,0.0002,0.5
1220,0.0002,0.5
1221,0.0002,2.75
1222,0.0002,1.0
1223,0.0002,0.0
1224,0.0002,1.0
1225,0.0002,1.0
1226,0.0002,1.0
1227,0.0002,0.625
1228,0.0002,0.5
1229,0.0002,0.25
1230,0.0002,0.5
1231,0.0002,0.6
1232,0.0002,0.5
1233,0.0002,0.666667
1234,0.0002,1.125
1235,0.0002,3.0
1236,0.0002,0.75
1237,0.0002,0.5
1238,0.0002,1.125
1239,0.0002,1.0
1240,0.0002,0.25
1241,0.0002,0.4
1242,0.0002,0.75
